Date,Date_1,Lot,AOI_ID,AOI_Scan_Amount,AOI_Pass_Amount,AOI_Reject_Amount,AOI_Yield,AOI_Yield_Die_Corner,AI_Pass_Amount,AI_Reject_Amount,AI_Yield,AI_Fail_Corner_Yield,Final_Pass_Amount,Final_Reject_Amount,Final_Yield,AI_EA_Overkill_Die_Corner,AI_EA_Overkill_Die_Surface,AI_Image_Overkill_Die_Corner,AI_Image_Overkill_Die_Surface,EA_over_kill_Die_Corner,EA_over_kill_Die_Surface,Image_Overkill_Die_Corner,Image_Overkill_Die_Surface,Total_Images,Image_Overkill,AI_Fail_EA_Die_Corner,AI_Fail_EA_Die_Surface,AI_Fail_Image_Die_Corner,AI_Fail_Image_Die_Surface,AI_Fail_Total,Total_AOI_Die_Corner_Image,AI_Pass,AI_Reduction_Die_Corner,AI_Reduction_All,True_Fail,True_Fail_Crack,True_Fail_Chipout,True_Fail_Die_Surface,True_Fail_Others,EA_True_Fail_Crack,EA_True_Fail_Chipout,EA_True_Fail_Die_Surface,EA_True_Fail_Others,EA_True_Fail_Crack_Chipout,Device_ID,OP_EA_Die_Corner,OP_EA_Die_Surface,OP_EA_Others,Die_Overkill
2024-07-02 09:00:16,2024-07-02,26NFCSM002,187,1571,1037,534,0.66008911521324,0.6632718014003819,1556,15,0.9904519414385742,0.9936346276257161,1569,2,0.9987269255251432,0.005092297899427116,0.003182686187141948,0.01199400299850075,0.0074962518740629685,8,5,8,5,667,13,10,5,10,5,15,662,652,0.9848942598187311,0.9775112443778111,2,1,1,0,0,1,1,0,0,2,Y52P-0423,2,0,0,13
2024-07-02 09:11:27,2024-07-02,26NFCSM002,195,1519,974,545,0.641211323238973,0.6451612903225806,1505,14,0.9907834101382489,0.9947333772218565,1518,1,0.9993416721527321,0.005266622778143515,0.0032916392363396972,0.010062893081761006,0.007547169811320755,8,5,8,6,795,14,8,6,8,7,15,788,780,0.9898477157360406,0.9811320754716981,1,0,0,1,0,0,0,1,0,0,Y52P-0423,0,1,0,13
2024-07-02 09:27:02,2024-07-02,26NFCSM002,196,1561,469,1092,0.3004484304932735,0.3113388853299167,1544,17,0.9891095451633568,1.0,1561,0,1,0,0.010890454836643177,0,0.009444444444444445,0,17,0,17,1800,17,0,17,0,17,17,1783,1783,1.0,0.9905555555555555,0,0,0,0,0,0,0,0,0,0,Y52P-0423,0,0,0,17
2024-07-02 09:37:02,2024-07-02,26NFCSM002,197,1546,1112,434,0.7192755498059509,0.722509702457956,1537,9,0.9941785252263907,0.9974126778783958,1544,2,0.9987063389391979,0.0019404915912031048,0.00258732212160414,0.005758157389635317,0.007677543186180422,3,4,3,4,521,7,4,5,4,5,9,516,512,0.9922480620155039,0.982725527831094,2,1,0,1,0,1,0,1,0,1,Y52P-0423,1,1,0,7
2024-07-02 09:53:35,2024-07-02,26NFCSM002,198,1553,350,1203,0.22537025112685125,0.231809401159047,1540,13,0.9916291049581455,0.9980682549903412,1552,1,0.9993560849967804,0.00128783000643915,0.00643915003219575,0.0009900990099009901,0.0049504950495049506,2,10,2,10,2020,12,3,10,3,10,13,2010,2007,0.9985074626865672,0.9935643564356436,1,1,0,0,0,1,0,0,0,1,Y52P-0423,1,0,0,12
2024-07-02 10:10:29,2024-07-02,26NFCSM002,212,1571,401,1170,0.2552514322087842,0.27180140038192235,1540,31,0.98026734563972,0.9968173138128581,1570,1,0.9993634627625716,0.002546148949713558,0.016549968173138127,0.00249500998003992,0.012974051896207584,4,26,5,26,2004,31,5,26,6,26,32,1978,1972,0.9969666329625885,0.9840319361277445,1,2,0,0,0,1,0,0,0,1,Y52P-0423,1,0,0,30
2024-07-02 10:20:53,2024-07-02,26NFCSM002,220,1543,1081,462,0.7005832793259883,0.7025275437459495,1540,3,0.9980557355800389,1.0,1543,0,1,0,0.0019442644199611147,0,0.006299212598425197,0,3,0,4,635,4,0,3,0,4,4,631,631,1.0,0.9937007874015747,0,0,0,0,0,0,0,0,0,0,Y52P-0423,0,0,0,3
2024-07-02 10:31:23,2024-07-02,26NFCSM002,221,1569,1089,480,0.6940726577437859,0.6953473550031868,1566,3,0.9980879541108987,0.9993626513702996,1569,0,1,0.0006373486297004461,0.0012746972594008922,0.0016891891891891893,0.0033783783783783786,1,2,1,2,592,3,1,2,1,2,3,590,589,0.9983050847457627,0.9949324324324325,0,0,0,0,0,0,0,0,0,0,Y52P-0423,0,0,0,3
2024-07-02 10:44:27,2024-07-02,26NFCQM001,154,1597,852,745,0.5335003130870382,0.5360050093926112,1585,12,0.9924859110832811,0.9949906073888541,1596,1,0.9993738259236068,0.005009392611145898,0.001878522229179712,0.0068846815834767644,0.004302925989672977,8,3,8,5,1162,13,8,4,8,7,15,1155,1147,0.9930735930735931,0.9870912220309811,2,0,0,3,0,0,0,1,0,0,Y52P-0423,0,1,0,11
2024-07-02 11:01:10,2024-07-02,26NFCQM001,155,1577,386,1191,0.2447685478757134,0.24920735573874445,1564,13,0.9917564996829423,0.9961953075459734,1577,0,1,0.003804692454026633,0.004438807863031071,0.0028462998102466793,0.003320683111954459,6,7,6,7,2108,13,6,7,6,7,13,2101,2095,0.997144217039505,0.9938330170777988,0,0,0,0,0,0,0,0,0,0,Y52P-0423,0,0,0,13
