Date,Date_1,Lot,AOI_ID,AOI_Scan_Amount,AOI_Pass_Amount,AOI_Reject_Amount,AOI_Yield,AOI_Yield_Die_Corner,AI_Pass_Amount,AI_Reject_Amount,AI_Yield,AI_Fail_Corner_Yield,Final_Pass_Amount,Final_Reject_Amount,Final_Yield,AI_EA_Overkill_Die_Corner,AI_EA_Overkill_Die_Surface,AI_Image_Overkill_Die_Corner,AI_Image_Overkill_Die_Surface,EA_over_kill_Die_Corner,EA_over_kill_Die_Surface,Image_Overkill_Die_Corner,Image_Overkill_Die_Surface,Total_Images,Image_Overkill,AI_Fail_EA_Die_Corner,AI_Fail_EA_Die_Surface,AI_Fail_Image_Die_Corner,AI_Fail_Image_Die_Surface,AI_Fail_Total,Total_AOI_Die_Corner_Image,AI_Pass,AI_Reduction_Die_Corner,AI_Reduction_All,True_Fail,True_Fail_Crack,True_Fail_Chipout,True_Fail_Die_Surface,True_Fail_Others,EA_True_Fail_Crack,EA_True_Fail_Chipout,EA_True_Fail_Die_Surface,EA_True_Fail_Others,EA_True_Fail_Crack_Chipout,Device_ID,OP_EA_Die_Corner,OP_EA_Die_Surface,OP_EA_Others,Die_Overkill
2024-07-09 00:01:01,2024-07-08,28NFKAW001,J16,1102,921,181,0.8357531760435571,0.8366606170598911,1094,8,0.9927404718693285,0.9936479128856625,1101,1,0.9990925589836661,0.006352087114337568,0,0.03333333333333333,0.0,7,0,7,0,210,7,7,1,7,1,8,209,202,0.9665071770334929,0.9619047619047619,1,0,0,1,0,0,0,1,0,0,Y42M-1027-diebase-tigten_corner-2X-SURFACE,0,1,0,7
2024-07-09 00:03:01,2024-07-08,32SIVPW001,05,1254,1249,5,0.9960127591706539,0.9960127591706539,1254,0,1.0,1.0,1254,0,1,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,58,58,1.0,1.0,0,0,0,0,0,0,0,0,0,0,M3995L00012-42U-O-12-SX01,0,0,0,0
2024-07-09 00:03:24,2024-07-08,28NFKBW001,982,1038,540,498,0.5202312138728323,0.5221579961464354,1030,8,0.9922928709055877,0.9942196531791907,1034,4,0.9961464354527938,0.002890173410404624,0,0.004431314623338257,0.0,3,0,3,0,677,3,6,2,7,2,9,675,668,0.9896296296296296,0.9867060561299852,6,2,0,2,2,1,0,2,1,1,Y42M-0928,1,3,0,4
2024-07-09 00:05:53,2024-07-08,28NFK9W001,324,1079,516,563,0.4782205746061168,0.47914735866543096,1071,8,0.9925857275254866,0.9935125115848007,1078,1,0.9990732159406858,0.005560704355885079,0.0009267840593141798,0.007202881152460984,0.0024009603841536613,6,1,6,2,833,8,7,1,7,2,9,831,824,0.9915764139590855,0.9891956782713085,1,1,0,0,0,1,0,0,0,1,Y42M-0928,1,0,0,7
2024-07-09 00:06:09,2024-07-08,264BRRM002,03,8787,8734,53,0.9939683623534767,0.9943097758051668,8762,25,0.9971548879025833,0.9974963013542734,8771,16,0.9981791282576533,0.0010242403550699897,0,0.16901408450704225,0.0,9,0,12,0,71,12,22,3,26,3,29,68,42,0.6176470588235294,0.5915492957746479,17,0,1,3,13,0,1,3,12,1,BMI482AAA_16U_O_8_M002,1,0,16,9
2024-07-09 00:06:24,2024-07-08,272KWPN001,09,20354,20234,120,0.9941043529527366,0.9941043529527366,20354,0,1.0,1.0,20354,0,1,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,120,120,1.0,1.0,0,0,0,0,0,0,0,0,0,0,MT3606T-BZAB05-CSE3-H-28U-12-O-M001,0,0,0,0
2024-07-09 00:06:34,2024-07-08,32SIVPW001,04,1288,1279,9,0.9930124223602484,0.9930124223602484,1286,2,0.9984472049689441,0.9984472049689441,1288,0,1,0.0015527950310559005,0,0.02127659574468085,0,2,0,2,0,94,2,2,0,2,0,2,94,92,0.9787234042553191,0.9787234042553191,0,0,0,0,0,0,0,0,0,0,M3995L00012-42U-O-12-SX01,0,0,0,2
2024-07-09 00:06:48,2024-07-08,28NFK7W001,218,1030,749,281,0.7271844660194174,0.7339805825242719,1012,18,0.9825242718446602,0.9893203883495145,1027,3,0.9970873786407767,0.009708737864077669,0.003883495145631068,0.050473186119873815,0.012618296529968454,10,4,16,4,317,20,11,7,16,7,23,310,294,0.9483870967741935,0.9274447949526814,3,1,0,3,0,1,0,2,0,1,Y42M-1027-diebase-tigten_corner-2X-SURFACE,0,3,0,15
2024-07-09 00:08:33,2024-07-08,264BRVM002,11,8812,8748,64,0.9927371765773945,0.9927371765773945,8751,61,0.9930776214253291,0.9930776214253291,8785,27,0.9969359963685883,0.003858374943259192,0,0.5679012345679012,0,34,0,46,0,81,46,61,0,74,0,74,81,7,0.08641975308641975,0.08641975308641975,28,0,5,0,24,0,5,0,22,5,BMI482AAA_16U_O_8_M002,5,0,23,34
2024-07-09 00:08:36,2024-07-08,28NFKAW001,J17,1097,919,178,0.837739288969918,0.8386508659981768,1092,5,0.9954421148587056,0.9963536918869644,1096,1,0.9990884229717412,0.0036463081130355514,0,0.01904761904761905,0.0,4,0,4,0,210,4,4,1,4,1,5,209,205,0.9808612440191388,0.9761904761904762,1,0,0,1,0,0,0,1,0,0,Y42M-1027-diebase-tigten_corner-2X-SURFACE,0,1,0,4
